date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:53:36	31/31	---M--	200	added ('OK')	text/plain	date:Fri,%2012%20Oct%202018%2016:00:13%20GMT	https://admin.pixelstrap.com/robots.txt		(from )
06:53:37	46202/46202	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Sep%202024%2005:27:32%20GMT	https://admin.pixelstrap.com/poco/	C:/Users/ABOLARIN/Downloads/website%20templates/general%20admin%20page/admin.pixelstrap.com/poco/index.html	(from )
06:53:37	297/297	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2005:54:36%20GMT	https://admin.pixelstrap.com/poco/assets/images/favicon.png	C:/Users/ABOLARIN/Downloads/website%20templates/general%20admin%20page/admin.pixelstrap.com/poco/assets/images/favicon.png	(from https://admin.pixelstrap.com/poco/)
06:53:38	29626/29626	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2005:39:13%20GMT	https://admin.pixelstrap.com/poco/assets/css/fontawesome.css	C:/Users/ABOLARIN/Downloads/website%20templates/general%20admin%20page/admin.pixelstrap.com/poco/assets/css/fontawesome.css	(from https://admin.pixelstrap.com/poco/)
06:53:39	93264/93264	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2005:39:13%20GMT	https://admin.pixelstrap.com/poco/assets/css/icofont.css	C:/Users/ABOLARIN/Downloads/website%20templates/general%20admin%20page/admin.pixelstrap.com/poco/assets/css/icofont.css	(from https://admin.pixelstrap.com/poco/)
06:53:41	17587/17587	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2005:39:13%20GMT	https://admin.pixelstrap.com/poco/assets/css/themify.css	C:/Users/ABOLARIN/Downloads/website%20templates/general%20admin%20page/admin.pixelstrap.com/poco/assets/css/themify.css	(from https://admin.pixelstrap.com/poco/)
06:53:42	2306/2306	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2005:39:13%20GMT	https://admin.pixelstrap.com/poco/assets/css/feather-icon.css	C:/Users/ABOLARIN/Downloads/website%20templates/general%20admin%20page/admin.pixelstrap.com/poco/assets/css/feather-icon.css	(from https://admin.pixelstrap.com/poco/)
06:53:43	68199/68199	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2005:39:13%20GMT	https://admin.pixelstrap.com/poco/assets/css/animate.css	C:/Users/ABOLARIN/Downloads/website%20templates/general%20admin%20page/admin.pixelstrap.com/poco/assets/css/animate.css	(from https://admin.pixelstrap.com/poco/)
06:53:44	232914/232914	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2005:39:13%20GMT	https://admin.pixelstrap.com/poco/assets/css/bootstrap.css	C:/Users/ABOLARIN/Downloads/website%20templates/general%20admin%20page/admin.pixelstrap.com/poco/assets/css/bootstrap.css	(from https://admin.pixelstrap.com/poco/)
06:53:45	40/40	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2005:39:14%20GMT	https://admin.pixelstrap.com/poco/assets/css/color-1.css	C:/Users/ABOLARIN/Downloads/website%20templates/general%20admin%20page/admin.pixelstrap.com/poco/assets/css/color-1.css	(from https://admin.pixelstrap.com/poco/)
